Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
Aegean Airlines,8,"""the crew was very friendly""",21st March 2023,TRUE,A320,Family Leisure,Business Class,Athens to Berlin,Sep-22,2,4,3,5,4,5,5,yes
Aegean Airlines,1,"""pay checks for overweight of 8kg""",16th March 2023,TRUE,,Business,Economy Class,Athens to Stuttgart ,Jul-22,3,2,,1,1,1,1,no
Aegean Airlines,2,"""I wanted to change my ticket""",15th March 2023,TRUE,,Family Leisure,Economy Class,Tel Aviv to Athens,Mar-23,,,,,,,1,no
Aegean Airlines,5,"""crew was very friendly and helpful""",3rd March 2023,TRUE,A320,Family Leisure,Economy Class,Athens to Hamburg,Mar-23,1,5,2,5,,1,3,no
Aegean Airlines,1,"""fee to cancel was 45�?ticket""",15th February 2023,TRUE,,Couple Leisure,Economy Class,Rome to Athens ,Feb-23,,,,,,,1,no
Aegean Airlines,1,"""Zero customer service""",9th February 2023,TRUE,,Family Leisure,Economy Class,Madrid to Larnaca via Athens,Jun-22,1,1,1,1,,,1,no
Aegean Airlines,2,"""has no loyalty to its loyal clients""",13th January 2023,FALSE,,Solo Leisure,Economy Class,Paris to Munich via Athens,Dec-22,1,2,1,2,,1,2,no
Aegean Airlines,3,"""Super small space between seats""",9th January 2023,TRUE,,Family Leisure,Economy Class,Athens to Brussels,Jan-23,2,3,3,3,3,3,2,no
Aegean Airlines,5,"""told I was a standby passenger""",31st December 2022,TRUE,,Solo Leisure,Economy Class,London to Corfu via Athens,Dec-22,3,3,3,3,1,,3,no
Aegean Airlines,1,"""Very poor service""",18th December 2022,TRUE,,Solo Leisure,Economy Class,Santorini to Athens,Dec-22,2,1,1,1,1,1,1,no
Aegean Airlines,1,"""Never flying with them again""",13th November 2022,TRUE,,Family Leisure,Economy Class,Athens to Zurich,Nov-22,4,5,4,1,,,1,no
Aegean Airlines,1,"""professional cabin crew""",13th November 2022,TRUE,A321 Neo,Solo Leisure,Economy Class,Prague to Cairo via Athens,Nov-22,5,5,3,5,,,5,yes
Aegean Airlines,1,"""could easily have been avoided""",4th November 2022,TRUE,,Family Leisure,Economy Class,Rhodes to Stockholm,Nov-22,2,1,2,3,,2,3,no
Aegean Airlines,2,"""you will not get any support if something goes wrong""",3rd November 2022,TRUE,,Business,Economy Class,Belgrade to Chania,Sep-22,2,4,3,2,1,1,3,no
Aegean Airlines,1,"""One of the best airline apps I have tried so far!""",26th October 2022,TRUE,A321NEO and A321,Solo Leisure,Economy Class,Madrid to Heraklion via Athens,Oct-22,4,5,4,5,,5,5,yes
Aegean Airlines,1,"""My bag was delayed""",10th October 2022,TRUE,,Couple Leisure,Economy Class,Santorini to Athens,Aug-22,1,1,,1,,,1,no
Aegean Airlines,6,"""simply got worse in service""",6th October 2022,TRUE,A321 Neo,Business,Economy Class,Larnaca to Athens,Oct-22,3,3,3,3,3,,3,no
Aegean Airlines,1,"""a very bad experience""",5th October 2022,TRUE,,Couple Leisure,Economy Class,Santorini to Athens,Oct-22,2,2,,1,,,1,no
Aegean Airlines,1,"""dysfunctional bureaucracy""",1st October 2022,FALSE,,Couple Leisure,Economy Class,Corfu to Skopje via Athens,Aug-22,1,1,1,1,1,1,1,no
Aegean Airlines,5,"""luggage is delayed""",30th September 2022,TRUE,A321 / A321,Solo Leisure,Economy Class,Yerevan to Hamburg via Athens,Sep-22,4,5,3,1,1,,3,no
Aegean Airlines,1,"""had to buy my own meal""",20th September 2022,TRUE,,Couple Leisure,Economy Class,Oslo to Santorini,Sep-22,2,5,2,1,,,1,no
Aegean Airlines,5,"""flight attendants were nice""",18th September 2022,TRUE,,Family Leisure,Economy Class,Rhodes to Amsterdam via Athens ,Sep-22,5,5,4,4,,,3,yes
Aegean Airlines,1,"""The best airline in Europe""",18th September 2022,TRUE,A321 Neo,Solo Leisure,Economy Class,Prague to Cairo via Athens,Sep-22,5,5,5,5,,,5,yes
Aegean Airlines,4,"""passed only once for drinks""",17th September 2022,TRUE,A320,Business,Economy Class,Helsinki to Athens,Sep-22,3,3,1,4,,,2,no
Aegean Airlines,2,"""luggage arrived nine and twelve days later""",11th September 2022,TRUE,A321 classic,Couple Leisure,Economy Class,Tbislis to Frankfurt via Athens ,Jun-22,3,1,2,2,,,3,no
Aegean Airlines,6,"""Meal was good for a 90 min flight""",5th September 2022,TRUE,A321,Solo Leisure,Economy Class,Athens to Beirut,Sep-22,2,4,4,4,,,3,yes
Aegean Airlines,2,"""seats reservation was not allowed""",2nd September 2022,TRUE,A320,Couple Leisure,Economy Class,Athens to Mykonos,Aug-22,2,3,,1,,,1,no
Aegean Airlines,2,"""change those seat, paying 12 Euros""",2nd September 2022,TRUE,A320 Neo,Couple Leisure,Economy Class,Athens to Munich,Sep-22,2,3,3,1,,,1,no
Aegean Airlines,1,"""Aegean exceeded my expectations""",18th August 2022,TRUE,A320,Solo Leisure,Economy Class,Berlin to Thessaloniki,Jun-22,5,5,5,5,4,,5,yes
Aegean Airlines,5,"""I had to pay 50 euros more""",12th August 2022,TRUE,,Solo Leisure,Economy Class,Stuttgart to Thessaloniki via Athens,Aug-22,3,4,3,1,,,1,no
Aegean Airlines,1,"""great flight and highly recommended""",11th August 2022,FALSE,A321 Neo,Business,Economy Class,Athens to London Heathrow,Aug-22,4,5,5,5,5,5,5,yes
Aegean Airlines,1,"""Lost my luggage 3 days ago""",11th August 2022,TRUE,,Family Leisure,Economy Class,London to Istanbul via Athens,Aug-22,2,2,1,1,,,1,no
Aegean Airlines,2,"""Gold Air cannot be reached""",2nd August 2022,TRUE,,Business,Economy Class,Heraklion to Athens,Aug-22,3,3,1,1,,,1,no
Aegean Airlines,1,"""inappropriate delay of the flight""",29th July 2022,TRUE,,Business,Economy Class,Athens to Sofia,Jul-22,1,1,,1,,,1,no
Aegean Airlines,1,"""we still have no luggage""",11th July 2022,TRUE,,Couple Leisure,Economy Class,Mykonos to Rome via Athens,Jul-22,1,1,,1,,,1,no
Aegean Airlines,9,"""Professional service on-board""",9th July 2022,FALSE,A321 Neo,Solo Leisure,Economy Class,Athens to London,Jul-22,5,5,5,5,4,5,5,yes
Aegean Airlines,2,"""hand luggage to be checked in""",8th July 2022,TRUE,A321 Neo,Solo Leisure,Economy Class,Athens to London,Jul-22,3,3,1,3,,,2,no
Aegean Airlines,1,"""extra hand luggage I had to pay""",7th July 2022,TRUE,,Solo Leisure,Premium Economy,London to Athens,Jul-22,1,1,,1,,,1,no
Aegean Airlines,1,"""I was allowed 8kg""",3rd July 2022,TRUE,A320neo,Solo Leisure,Economy Class,Thessaloniki to Athens,Jul-22,2,2,,1,,,1,no
Aegean Airlines,9,"""Politely greeted at door""",26th June 2022,FALSE,A320,Solo Leisure,Economy Class,Istanbul to Athens,Jun-22,5,5,5,5,4,5,5,yes
Aegean Airlines,1,"""Aegean lost my bag 7 days ago""",25th June 2022,FALSE,,Business,Economy Class,Dublin to Paros via Athens,Jun-22,3,3,3,1,,,1,no
Aegean Airlines,7,"""Service was good and attentive as always with this airline""",20th June 2022,TRUE,A320Neo,Couple Leisure,Business Class,Mykonos to Copenhagen via Athens,Jun-22,4,5,3,1,2,1,1,yes
Aegean Airlines,1,"""checked-in luggage has been lost""",20th June 2022,FALSE,,Solo Leisure,Economy Class,Athens to Paris,Jun-22,2,3,1,1,1,1,1,no
Aegean Airlines,1,"""exemplary customer service""",18th June 2022,FALSE,,Solo Leisure,Economy Class,Athens to Mykonos,Jun-22,,,,,,,5,yes
Aegean Airlines,4,"""very rude, no negotiating and very aggressive""",5th May 2022,TRUE,,Couple Leisure,Premium Economy,Santorini to Athens,May-22,4,1,,4,,,3,no
Aegean Airlines,1,"""Due personal reasons, we can't fly to Greece""",4th May 2022,TRUE,,Couple Leisure,Economy Class,Hamburg to Athens,May-22,,,,,,,1,no
Aegean Airlines,1,"""Excellent service by the cabin crew"" ",24th April 2022,TRUE,A319,Solo Leisure,Economy Class,Heraklion to Athens,Apr-22,5,5,5,5,,,5,yes
Aegean Airlines,9,"""my first choice to and from Greece""",20th April 2022,FALSE,A321 Neo,Solo Leisure,Economy Class,London to Athens,Apr-22,4,5,5,5,5,4,5,yes
Aegean Airlines,1,"""They have lost 2 very good clients""",19th April 2022,TRUE,,Family Leisure,Economy Class,Brussels to Athens,May-21,1,1,1,1,1,1,1,no
Aegean Airlines,1,"""flexibility is not part of business""",19th April 2022,TRUE,,Couple Leisure,Economy Class,London to Istanbul via Athens,Apr-22,,,,,,,1,no
Aegean Airlines,3,"""space cannot be considered acceptable for business class""",8th April 2022,TRUE,A319-100,Business,Business Class,Athens to Istanbul,Apr-22,1,5,3,5,,,1,no
Aegean Airlines,1,"""The complaints process was long and difficult to use""",7th April 2022,FALSE,,Couple Leisure,Economy Class,London to Athens,Sep-21,1,1,1,1,,,1,no
Aegean Airlines,1,"""only middle seats were available for free""",4th April 2022,TRUE,A320,Couple Leisure,Economy Class,Athens to Thessaloniki,Apr-22,1,3,2,3,,2,1,no
Aegean Airlines,1,"""Excellent service from start to finish""",3rd April 2022,FALSE,A320 NEO,Solo Leisure,Economy Class,Athens to London,Mar-22,4,5,5,5,4,5,5,yes
Aegean Airlines,1,"""it is clear that they are in a steep decline""",1st April 2022,TRUE,A320,Business,Economy Class,Athens to Santorini,Apr-22,1,1,1,1,1,1,1,no
Aegean Airlines,1,"""friendly and professional staff""",6th March 2022,TRUE,,Business,Economy Class,Athens to Stockholm,Feb-22,5,5,5,5,,,5,yes
Aegean Airlines,9,"""Good trip, recommended""",21st February 2022,FALSE,A320 NEO,Solo Leisure,Economy Class,London to Athens,Feb-22,4,5,4,5,4,4,5,yes
Aegean Airlines,6,"""overall experience is very pleasant""",20th February 2022,FALSE,A320 neo,Family Leisure,Economy Class,Athens to London,Feb-22,2,4,2,5,1,1,2,yes
Aegean Airlines,4,"""No warm food was offered""",5th January 2022,TRUE,A321,Family Leisure,Economy Class,Athens to Helsinki,Dec-21,4,2,1,3,1,,1,yes
Aegean Airlines,1,"""bags would be above the 8 kilos allowed""",31st December 2021,TRUE,,Family Leisure,Economy Class,Athens to Paris,Dec-21,2,4,2,1,,,1,no
Aegean Airlines,1,"""Best value for money""",25th December 2021,TRUE,A321 Neo,Solo Leisure,Economy Class,Prague to Cairo via Athens,Nov-21,5,5,5,5,,,5,yes
Aegean Airlines,4,"""It was very stressful and inconvenient""",7th December 2021,TRUE,,Business,Economy Class,Prague to Athens via Heraklion,Dec-21,4,4,3,1,3,,1,no
Aegean Airlines,5,"""some things are really frustrating""",15th November 2021,TRUE,A320NEO,Business,Economy Class,Larnaca to Athens,Nov-21,4,5,2,4,,,2,no
Aegean Airlines,2,"""faced to pay my seat change""",4th November 2021,TRUE,,Business,Economy Class,Stockholm to Athens,Nov-21,,,,1,,,1,no
Aegean Airlines,2,"""pay 100 pounds for our backpacks""",3rd November 2021,TRUE,,Family Leisure,Economy Class,London to Athens,Nov-21,2,3,1,1,,,2,no
Aegean Airlines,7,"""The biggest letdown are the seats""",10th October 2021,TRUE,A320 neo,Solo Leisure,Economy Class,Athens to Munich,Oct-21,3,4,4,4,4,4,5,yes
Aegean Airlines,7,"""Nothing to complain about""",2nd October 2021,TRUE,A320,Couple Leisure,Economy Class,Stuttgart to Heraklion,Oct-21,3,3,3,4,,,5,yes
